latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.27163,136.9745,324.81,1.11,1.05,2022-05-28,0054,T,71,6.1NRT,303.72,15.74,D
-16.28725,136.95081,336.22,1.11,1.05,2022-05-28,0054,T,82,6.1NRT,305.32,30.53,D
-16.28886,136.96112,328.12,1.11,1.05,2022-05-28,0054,T,33,6.1NRT,304.99,18.14,D
-16.29667,136.94926,330.23,1.11,1.05,2022-05-28,0054,T,81,6.1NRT,305.46,22.04,D
-16.3061,136.94772,318.66,1.11,1.05,2022-05-28,0054,T,56,6.1NRT,304.77,8.36,D
-16.32204,137.05034,319.48,1.1,1.05,2022-05-28,0054,T,21,6.1NRT,304.38,9.72,D
-16.32362,137.06053,324.29,1.1,1.05,2022-05-28,0054,T,68,6.1NRT,303.6,15.34,D
-15.43845,131.67749,314.69,2.57,1.54,2022-05-28,0054,T,53,6.1NRT,300.71,24.96,D
-16.333,137.05898,327.99,1.1,1.05,2022-05-28,0054,T,41,6.1NRT,303.67,18.82,D
-16.35019,137.0457,324.2,1.1,1.05,2022-05-28,0054,T,62,6.1NRT,303.05,15.16,D
-16.37517,137.04607,319.39,1.1,1.05,2022-05-28,0054,T,32,6.1NRT,303.26,9.8,D
-15.56885,132.04877,320.27,2.4,1.49,2022-05-28,0054,T,72,6.1NRT,300.31,35.82,D
-16.40489,137.05167,324.19,1.1,1.04,2022-05-28,0054,T,53,6.1NRT,303.68,14.91,D
-16.41427,137.05014,333.85,1.1,1.04,2022-05-28,0054,T,85,6.1NRT,304.14,28.52,D
-16.4424,137.04556,324.77,1.1,1.04,2022-05-28,0054,T,76,6.1NRT,303.78,16.36,D
-16.44396,137.05573,326.6,1.1,1.04,2022-05-28,0054,T,78,6.1NRT,304.72,18.87,D
-16.4484,137.04834,342.24,1.1,1.04,2022-05-28,0054,T,91,6.1NRT,305.98,45.15,D
-16.45,137.05849,328.23,1.1,1.04,2022-05-28,0054,T,80,6.1NRT,304.72,21.57,D
-16.43469,136.59109,314.82,1.15,1.07,2022-05-28,0054,T,53,6.1NRT,304.37,5.97,D
-15.71,131.96312,327.28,2.42,1.5,2022-05-28,0054,T,80,6.1NRT,301.94,63.71,D
-15.71401,131.98523,328.83,2.41,1.5,2022-05-28,0054,T,81,6.1NRT,301.59,68.84,D
-15.82867,131.95677,317,2.41,1.5,2022-05-28,0054,T,66,6.1NRT,302.28,23.76,D
-16.64427,136.81374,319.82,1.12,1.05,2022-05-28,0054,T,63,6.1NRT,305.94,9.63,D
-16.65372,136.81218,317.6,1.12,1.05,2022-05-28,0054,T,44,6.1NRT,304.88,6.93,D
-16.71232,136.72159,318.81,1.12,1.06,2022-05-28,0054,T,66,6.1NRT,305.29,10.15,D
-17.42244,132.69594,316.48,1.97,1.37,2022-05-28,0054,T,38,6.1NRT,302.97,15.89,D
-17.43391,132.61723,320.75,2,1.38,2022-05-28,0054,T,71,6.1NRT,302.85,23.39,D
-17.483,132.44594,319.09,2.05,1.39,2022-05-28,0054,T,54,6.1NRT,300.71,25.29,D
-17.48641,132.46506,343.67,2.04,1.39,2022-05-28,0054,T,92,6.1NRT,302.93,118.28,D
-17.48979,132.48409,320.68,2.04,1.39,2022-05-28,0054,T,57,6.1NRT,301.63,26.14,D
-17.49316,132.50305,318.97,2.03,1.39,2022-05-28,0054,T,60,6.1NRT,302.18,20.41,D
-17.49885,132.46265,336.65,2.04,1.39,2022-05-28,0054,T,87,6.1NRT,301.55,84.76,D
-17.50221,132.48169,354.77,2.04,1.39,2022-05-28,0054,T,97,6.1NRT,304.24,181.88,D
-17.50556,132.50066,328.6,2.03,1.39,2022-05-28,0054,T,73,6.1NRT,302,50.51,D
-17.5089,132.51956,335.78,2.02,1.39,2022-05-28,0054,T,87,6.1NRT,303.46,75.33,D
-17.51222,132.53839,329.15,2.02,1.38,2022-05-28,0054,T,81,6.1NRT,303.52,51.64,D
-17.51554,132.55716,320.53,2.01,1.38,2022-05-28,0054,T,57,6.1NRT,302.12,25.14,D
-19.88547,142.4733,328.35,1.46,1.19,2022-05-28,0054,T,82,6.1NRT,300.21,35.07,D
-19.88714,142.4872,326.81,1.46,1.19,2022-05-28,0054,T,81,6.1NRT,299.86,32.69,D
-19.89289,142.4442,317.19,1.45,1.19,2022-05-28,0054,T,70,6.1NRT,300.07,15.79,D
-19.89456,142.45804,318.11,1.46,1.19,2022-05-28,0054,T,71,6.1NRT,300.19,17.58,D
-19.89623,142.47189,312.84,1.46,1.19,2022-05-28,0054,T,61,6.1NRT,299.78,9.44,D
-20.4462,139.16699,315.96,1.03,1.01,2022-05-28,0054,T,66,6.1NRT,298.03,9.32,D
-20.44756,139.17682,320.01,1.03,1.01,2022-05-28,0054,T,73,6.1NRT,298.67,13.28,D
-22.44007,147.1924,309.15,3.47,1.75,2022-05-28,0054,T,61,6.1NRT,295.04,36.56,D
-22.43327,147.18645,308.9,3.47,1.75,2022-05-28,0054,T,61,6.1NRT,295.06,35.91,D
-33.00562,137.57928,300.24,1.13,1.06,2022-05-28,0058,T,31,6.1NRT,288.85,3.88,D
-25.33101,-42.69107,321.61,1.05,1.02,2022-05-28,0132,T,100,6.1NRT,294.12,19.77,N
-25.33259,-42.7015,308.63,1.05,1.02,2022-05-28,0132,T,62,6.1NRT,293.89,8.03,N
-24.65015,-42.51569,307.92,1.08,1.04,2022-05-28,0132,T,57,6.1NRT,293.97,7.78,N
-22.90989,-43.73387,314.61,1.03,1.01,2022-05-28,0132,T,90,6.1NRT,290.03,14.15,N
-22.00245,-46.85835,318.54,1.08,1.04,2022-05-28,0132,T,97,6.1NRT,280.8,22.13,N
-21.5986,-49.18576,310.61,1.4,1.17,2022-05-28,0132,T,80,6.1NRT,286.4,20.17,N
-19.27545,-49.52225,309.78,1.38,1.16,2022-05-28,0134,T,78,6.1NRT,287.87,17.99,N
-19.52907,-56.87262,316.68,4.79,2,2022-05-28,0134,T,31,6.1NRT,291.78,114.79,N
-19.53154,-56.8794,316.58,4.79,2,2022-05-28,0134,T,15,6.1NRT,291.73,111.24,N
-16.48567,-47.36954,315.32,1.03,1.01,2022-05-28,0134,T,91,6.1NRT,286.55,16.43,N
-16.48697,-47.37912,305.57,1.03,1.01,2022-05-28,0134,T,65,6.1NRT,286,9.09,N
-16.65524,-49.37213,310.06,1.25,1.11,2022-05-28,0134,T,79,6.1NRT,275.43,17.35,N
-14.2252,-46.25404,302.66,1.01,1,2022-05-28,0134,T,51,6.1NRT,285.92,7,N
5.82593,6.4451,302.1,1,1,2022-05-28,0117,A,47,6.1NRT,290.21,4.16,N
5.89775,5.5879,302.69,1.01,1,2022-05-28,0117,A,51,6.1NRT,290.73,3.84,N
5.69022,6.36471,301.3,1,1,2022-05-28,0117,A,40,6.1NRT,289.05,3.84,N
5.41354,5.37081,306.88,1.01,1,2022-05-28,0117,A,70,6.1NRT,290.58,6.61,N
4.3085,7.65759,313.94,1.11,1.05,2022-05-28,0117,A,84,6.1NRT,292.88,11.13,N
4.30701,7.66745,316,1.11,1.05,2022-05-28,0117,A,90,6.1NRT,292.69,13.07,N
4.14974,7.96706,309.79,1.15,1.07,2022-05-28,0117,A,68,6.1NRT,293.48,7.9,N
4.14819,7.97729,328.81,1.15,1.07,2022-05-28,0117,A,100,6.1NRT,293.48,30.17,N
4.01752,7.49682,306.11,1.1,1.04,2022-05-28,0117,A,42,6.1NRT,293.34,4.86,N
3.85937,8.12734,305.44,1.18,1.08,2022-05-28,0117,A,30,6.1NRT,292.68,5.39,N
32.94456,3.23046,304.31,2.84,1.61,2022-05-28,0109,A,59,6.1NRT,287.58,36.3,N
31.66783,6.05907,306.88,1.77,1.3,2022-05-28,0109,A,70,6.1NRT,291.12,21.1,N
31.39653,6.93592,301.17,1.54,1.22,2022-05-28,0109,A,38,6.1NRT,289.63,12.09,N
30.97155,5.74718,307.75,1.81,1.32,2022-05-28,0109,A,72,6.1NRT,289.52,23.55,N
30.96971,5.76605,317.56,1.81,1.32,2022-05-28,0109,A,95,6.1NRT,290.23,41.44,N
28.73628,9.7916,313.02,1.05,1.02,2022-05-28,0111,A,86,6.1NRT,289.59,14.47,N
28.63457,9.79008,312.09,1.05,1.02,2022-05-28,0111,A,84,6.1NRT,290.03,13.29,N
28.57664,7.65523,301.02,1.29,1.13,2022-05-28,0111,A,37,6.1NRT,289.79,7.26,N
27.9258,9.24855,305.17,1.07,1.03,2022-05-28,0111,A,63,6.1NRT,290.94,7.74,N
27.92436,9.25934,302.69,1.07,1.03,2022-05-28,0111,A,51,6.1NRT,290.87,6.12,N
27.829,7.86568,301.51,1.23,1.1,2022-05-28,0111,A,42,6.1NRT,290.66,7.5,N
-4.51077,12.05159,306.87,3.09,1.67,2022-05-28,0120,A,70,6.1NRT,287.59,42.89,N
-4.50884,12.04474,302.1,3.09,1.67,2022-05-28,0120,A,44,6.1NRT,287.57,25.36,N
-4.51242,12.07219,301.14,3.11,1.67,2022-05-28,0120,A,31,6.1NRT,287.46,23.06,N
39.24782,16.07474,325.68,1.05,1.03,2022-05-28,0107,A,100,6.1NRT,292.27,26.05,N
51.97474,128.73312,328.61,1.1,1.05,2022-05-28,0213,T,73,6.1NRT,276.92,28.54,D
51.95612,128.72743,321.7,1.1,1.05,2022-05-28,0213,T,45,6.1NRT,281.79,21.01,D
51.93198,128.68701,341.7,1.1,1.05,2022-05-28,0213,T,86,6.1NRT,276.75,52.42,D
51.37736,129.3773,319.08,1.05,1.02,2022-05-28,0213,T,60,6.1NRT,296.7,11.78,D
51.36072,129.43407,338.55,1.05,1.02,2022-05-28,0213,T,72,6.1NRT,296.79,35.54,D
51.35884,129.44893,349.81,1.05,1.02,2022-05-28,0213,T,96,6.1NRT,296.91,57.5,D
51.26732,129.44392,306.93,1.05,1.02,2022-05-28,0213,T,49,6.1NRT,283.97,6.76,D
51.2156,129.42139,315.15,1.05,1.02,2022-05-28,0213,T,47,6.1NRT,288.56,9.6,D
51.20275,129.44807,326.36,1.05,1.02,2022-05-28,0213,T,84,6.1NRT,293.43,21.59,D
50.17629,118.09413,316.05,3.16,1.68,2022-05-28,0213,T,67,6.1NRT,296.62,53.36,D
50.16106,118.09311,325.81,3.16,1.68,2022-05-28,0213,T,73,6.1NRT,295.42,101.43,D
50.16373,118.08716,328.78,3.16,1.68,2022-05-28,0213,T,81,6.1NRT,296.23,124.86,D
50.16217,118.13142,309.14,3.14,1.68,2022-05-28,0213,T,39,6.1NRT,294.41,27.66,D
48.84599,123.80622,342.31,1.56,1.23,2022-05-28,0213,T,92,6.1NRT,303.2,75.27,D
48.84421,123.82733,335.5,1.56,1.23,2022-05-28,0213,T,88,6.1NRT,302.67,54.06,D
48.84586,123.799,322.75,1.56,1.23,2022-05-28,0213,T,79,6.1NRT,302.36,23.68,D
48.84398,123.82008,338.85,1.56,1.23,2022-05-28,0213,T,90,6.1NRT,303.16,64.22,D
47.84906,128.83794,311.82,1.02,1.01,2022-05-28,0213,T,38,6.1NRT,294.79,6,D
47.24625,132.65236,321.58,1.09,1.04,2022-05-28,0213,T,58,6.1NRT,299.76,15.1,D
47.24142,132.64468,318,1.09,1.04,2022-05-28,0215,T,49,6.1NRT,297.17,11.13,D
46.85388,130.173,309.51,1,1,2022-05-28,0215,T,56,6.1NRT,295.92,4.7,D
46.23737,130.56113,319.17,1.01,1.01,2022-05-28,0215,T,68,6.1NRT,297.04,8.35,D
46.18371,129.31047,311.26,1,1,2022-05-28,0215,T,47,6.1NRT,297.95,6.52,D
45.64312,130.49641,308.45,1.02,1.01,2022-05-28,0215,T,61,6.1NRT,292.73,7.26,D
45.27038,131.07788,309.9,1.05,1.02,2022-05-28,0215,T,64,6.1NRT,296.55,4.67,D
45.45463,128.3194,317.33,1.01,1.01,2022-05-28,0215,T,39,6.1NRT,298.12,8.18,D
45.45287,128.33214,323.52,1.01,1.01,2022-05-28,0215,T,80,6.1NRT,298.88,14.62,D
44.67308,130.4594,315.21,1.03,1.01,2022-05-28,0215,T,54,6.1NRT,297.8,7.48,D
44.34495,129.46504,315.02,1.01,1,2022-05-28,0215,T,30,6.1NRT,298.38,5.55,D
44.06135,131.11923,315.87,1.08,1.04,2022-05-28,0215,T,17,6.1NRT,298.8,6.75,D
43.58627,129.63335,312.03,1.02,1.01,2022-05-28,0217,T,51,6.1NRT,297.14,6.96,D
43.2981,129.81451,315.07,1.03,1.01,2022-05-28,0217,T,54,6.1NRT,297.58,9.28,D
42.94474,130.45413,307.5,1.06,1.03,2022-05-28,0217,T,22,6.1NRT,294.83,4.99,D
43.02277,129.79379,311.07,1.03,1.01,2022-05-28,0217,T,37,6.1NRT,296.37,7.19,D
42.83408,130.3878,316.24,1.06,1.03,2022-05-28,0217,T,30,6.1NRT,298.68,7.92,D
42.82293,130.39778,317.46,1.06,1.03,2022-05-28,0217,T,59,6.1NRT,298.57,9.62,D
42.25067,130.30951,311.61,1.07,1.03,2022-05-28,0217,T,43,6.1NRT,298.63,6.63,D
41.16534,123.00054,326.36,1.37,1.16,2022-05-28,0217,T,80,6.1NRT,301.89,21.72,D
36.87827,126.87435,304.8,1,1,2022-05-28,0217,T,0,6.1NRT,282.55,3.27,D
34.63546,137.16962,308.82,3.68,1.8,2022-05-28,0217,T,0,6.1NRT,293.12,31.29,D
35.86423,128.83319,310.25,1.13,1.06,2022-05-28,0217,T,31,6.1NRT,288.06,7.64,D
16.88565,122.15337,315.55,1.01,1.01,2022-05-28,0224,T,46,6.1NRT,297.2,6.1,D
-3.42084,116.00277,315.79,1.03,1.02,2022-05-28,0228,T,51,6.1NRT,296.46,7.49,D
-13.75339,-47.73281,305.1,1.02,1.01,2022-05-28,0134,T,63,6.1NRT,293.32,6.08,N
-13.51276,-47.85648,302.07,1.02,1.01,2022-05-28,0134,T,46,6.1NRT,291.07,4.67,N
-12.65034,-44.45842,327.5,1.19,1.09,2022-05-28,0134,T,100,6.1NRT,288.12,36.26,N
-12.65201,-44.46929,322.4,1.19,1.09,2022-05-28,0134,T,100,6.1NRT,286.86,29.04,N
-13.14704,-49.23492,305.65,1.13,1.06,2022-05-28,0134,T,65,6.1NRT,292.17,7.67,N
-11.90302,-44.1916,315.9,1.26,1.12,2022-05-28,0134,T,92,6.1NRT,290.04,21.07,N
-12.38472,-49.01904,312.47,1.09,1.04,2022-05-28,0134,T,85,6.1NRT,292.39,12.96,N
-13.01182,-55.0778,306.27,2.88,1.62,2022-05-28,0134,T,67,6.1NRT,285.28,42.86,N
-13.01057,-55.08465,304.15,2.88,1.62,2022-05-28,0134,T,59,6.1NRT,285.17,39.34,N
-11.77311,-46.47248,303.29,1.02,1.01,2022-05-28,0134,T,52,6.1NRT,291.43,4.9,N
-11.63206,-45.81382,308.6,1.06,1.03,2022-05-28,0134,T,75,6.1NRT,287.29,11.43,N
-11.62283,-45.81526,310.77,1.06,1.03,2022-05-28,0134,T,81,6.1NRT,287.07,12.43,N
-11.62424,-45.82494,312.98,1.06,1.03,2022-05-28,0134,T,86,6.1NRT,287.32,14.12,N
-11.10268,-43.32625,306.69,1.47,1.2,2022-05-28,0134,T,69,6.1NRT,291.36,12.26,N
-11.07908,-43.31641,303.03,1.47,1.2,2022-05-28,0134,T,27,6.1NRT,290.86,8.09,N
